gene,rna_lfc,rna_p,prot_lfc,prot_p,gwas_p,concordant,gwas_p_floored,transcriptomic,proteomic,genomic,score
MFSD10,0.4,0.615,-0.000676345,1.0,2e-08,False,2e-08,0.4,0.000676345,7.698970004336019,2.6998821164453397
EXOC4,0.624,0.0284,-0.021380521,0.000756294,4e-08,False,4e-08,0.624,0.021380521,7.3979400086720375,2.681106843224012
UGGT2,2.67,0.00993,-0.053434596,1.33e-08,5e-06,False,5e-06,2.67,0.053434596,5.301029995663981,2.6748215305546603
NXN,-0.687,0.243,0.035849732,0.06699323,5e-08,False,5e-08,0.687,0.035849732,7.301029995663981,2.6746265758879937
ASPSCR1,0.314,0.775,-0.002218089,0.832899992,2e-08,False,2e-08,0.314,0.002218089,7.698970004336019,2.6717293644453397
TRIQK,1.58,0.0932,0.022830146,0.492324201,4e-07,True,4e-07,1.58,0.022830146,6.3979400086720375,2.666923384890679
SCN2A,-0.675,0.0964,-0.024112857,0.061851182,5e-08,True,5e-08,0.675,0.024112857,7.301029995663981,2.666714284221327
GSK3B,0.923,0.0237,-0.073904074,2.05e-17,1e-07,False,1e-07,0.923,0.073904074,7.0,2.665634691333333
CACNA1E,0.587,0.134,-0.00672564,1.0,4e-08,False,4e-08,0.587,0.00672564,7.3979400086720375,2.6638885495573454
PRKAA1,-1.96,0.0282,0.030545284,6.36e-05,1e-06,False,1e-06,1.96,0.030545284,6.0,2.663515094666667
PARP10,-1.8,0.0378,0.026732702,0.819596987,7e-07,False,7e-07,1.8,0.026732702,6.154901959985743,2.660544887328581
MARK2,-0.432,0.696,-0.013387238,0.113546748,3e-08,True,3e-08,0.432,0.013387238,7.522878745280337,2.6560886610934453
PFKFB4,-0.423,0.517,-0.017867773,1.0,3e-08,True,3e-08,0.423,0.017867773,7.522878745280337,2.654582172760112
FAM171A1,0.248,0.428,0.009628915,0.575862894,2e-08,True,2e-08,0.248,0.009628915,7.698970004336019,2.652199639778673
RIC8B,0.231,0.578,0.023938191,0.167355627,2e-08,True,2e-08,0.231,0.023938191,7.698970004336019,2.651302731778673
F13A1,0.633,0.436,-0.007854811,1.0,5e-08,False,5e-08,0.633,0.007854811,7.301029995663981,2.6472949355546604
DMD,1.92,0.0527,-0.010280791,1.0,1e-06,False,1e-06,1.92,0.010280791,6.0,2.6434269303333333
CSMD1,-1.36,0.0777,-0.039182768,0.000291559,3e-07,True,3e-07,1.36,0.039182768,6.522878745280337,2.640687171093446
NOTCH1,-0.752,0.23,0.013443499,1.0,7e-08,False,7e-08,0.752,0.013443499,7.154901959985743,2.640115152995248
ABCA8,-1.35,0.226,0.038658517,0.308747873,3e-07,False,3e-07,1.35,0.038658517,6.522878745280337,2.6371790874267793
KCNH1,-0.478,0.579,-0.022152983,0.090922521,4e-08,True,4e-08,0.478,0.022152983,7.3979400086720375,2.6326976638906787
PRKAG2,2.14,1.85e-05,0.022392847,0.006336625,2e-06,True,2e-06,2.14,0.022392847,5.698970004336019,2.620454283778673
STAU1,0.43,0.407,0.030767006,5.92e-05,4e-08,True,4e-08,0.43,0.030767006,7.3979400086720375,2.619569004890679
CAMTA1,1.49,0.0024,-0.058287589,0.23888586,5e-07,False,5e-07,1.49,0.058287589,6.301029995663981,2.6164391948879935
TLN2,-1.27,0.14,-0.052015596,5.98e-08,3e-07,True,3e-07,1.27,0.052015596,6.522878745280337,2.6149647804267793
FAM135B,-1.79,0.00368,-0.004297654,1.0,9e-07,True,9e-07,1.79,0.004297654,6.045757490560675,2.6133517148535583
YTHDC2,-2.3,0.00503,0.004822898,1.0,3e-06,False,3e-06,2.3,0.004822898,5.522878745280337,2.6092338810934455
TENM2,-0.41,0.367,-0.01865097,0.153631908,4e-08,True,4e-08,0.41,0.01865097,7.3979400086720375,2.6088636595573456
CABLES2,-0.285,0.428,0.010929358,1.0,3e-08,False,3e-08,0.285,0.010929358,7.522878745280337,2.6062693677601123
EFNA5,-1.62,0.0554,0.040479066,0.027732409,7e-07,False,7e-07,1.62,0.040479066,6.154901959985743,2.6051270086619143
